[02/07/2024 19:07:08 - INFO] Discord Presence activated
[02/07/2024 19:07:08 - INFO] Creating discord-rpc client
[02/07/2024 19:07:08 - INFO] Successfully connected to Discord
[02/07/2024 19:07:08 - DEBUG] Loading git extension
[02/07/2024 19:07:11 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:07:13 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:07:15 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:07:16 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:07:17 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:07:18 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:07:21 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:07:30 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:07:33 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:07:38 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:07:42 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:07:44 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:07:46 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:08:11 - TRACE] VSCode language id: typescript
[02/07/2024 19:09:59 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:02 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:03 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:04 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:06 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:08 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:10 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:12 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:14 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:16 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:18 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:20 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:24 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:26 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:29 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:34 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:36 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:39 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:41 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:43 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:10:43 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:01 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:03 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:04 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:07 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:07 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:09 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:09 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:11 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:13 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:15 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:18 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:21 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:23 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:25 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:27 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:29 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:31 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:33 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:35 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:37 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:39 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:41 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:43 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:45 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:48 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:50 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:52 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:11:59 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:13:21 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:13:24 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:13:26 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:13:28 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:13:30 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:13:39 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:13:41 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:13:59 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:02 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:06 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:08 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:10 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:11 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:12 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:12 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:31 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:34 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:38 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:40 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:42 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:43 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:45 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:47 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:47 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:49 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:49 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:49 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:49 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:51 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:54 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:56 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:56 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:14:58 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:00 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:02 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:04 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:06 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:08 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:10 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:13 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:21 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:23 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:24 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:26 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:27 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:30 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:30 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:32 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:32 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:40 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:41 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:43 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:46 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:47 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:49 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:49 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:50 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:53 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:15:54 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:16:00 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:16:02 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:16:04 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:16:07 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:16:07 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:16:18 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:16:20 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:16:21 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:16:22 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:16:23 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:16:27 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:16:29 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:16:29 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:16:31 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:16:34 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:16:38 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:18:27 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:18:28 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:18:29 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:18:31 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:18:33 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:18:35 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:18:36 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:18:38 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:18:50 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:18:52 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:18:54 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:18:56 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:18:58 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:00 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:02 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:05 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:07 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:09 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:11 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:13 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:16 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:18 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:21 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:23 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:25 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:28 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:30 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:32 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:34 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:36 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:38 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:40 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:42 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:44 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:48 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:50 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:52 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:53 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:55 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:19:56 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:20:29 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:20:30 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:20:32 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:20:34 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:20:36 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:20:38 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:20:40 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:20:42 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:20:45 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:49:00 - TRACE] VSCode language id: typescript
[02/07/2024 19:49:00 - TRACE] VSCode language id: typescript
[02/07/2024 19:49:02 - TRACE] VSCode language id: typescript
[02/07/2024 19:49:10 - TRACE] VSCode language id: typescript
[02/07/2024 19:49:11 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:49:13 - TRACE] VSCode language id: typescript
[02/07/2024 19:49:13 - TRACE] VSCode language id: typescript
[02/07/2024 19:49:14 - TRACE] VSCode language id: typescript
[02/07/2024 19:49:15 - TRACE] VSCode language id: typescript
[02/07/2024 19:49:52 - TRACE] VSCode language id: typescript
[02/07/2024 19:49:55 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:49:55 - TRACE] VSCode language id: typescript
[02/07/2024 19:49:58 - TRACE] VSCode language id: typescript
[02/07/2024 19:49:59 - TRACE] VSCode language id: typescript
[02/07/2024 19:50:01 - TRACE] VSCode language id: typescript
[02/07/2024 19:50:03 - TRACE] VSCode language id: typescript
[02/07/2024 19:50:06 - TRACE] VSCode language id: typescript
[02/07/2024 19:50:08 - TRACE] VSCode language id: typescript
[02/07/2024 19:50:34 - TRACE] VSCode language id: plaintext
[02/07/2024 19:50:37 - TRACE] VSCode language id: plaintext
[02/07/2024 19:50:38 - TRACE] VSCode language id: typescript
[02/07/2024 19:50:39 - TRACE] VSCode language id: typescript
[02/07/2024 19:50:50 - TRACE] VSCode language id: typescript
[02/07/2024 19:50:50 - TRACE] VSCode language id: typescript
[02/07/2024 19:50:52 - TRACE] VSCode language id: typescript
[02/07/2024 19:50:53 - TRACE] VSCode language id: typescript
[02/07/2024 19:51:20 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:51:29 - TRACE] VSCode language id: typescript
[02/07/2024 19:51:31 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:51:33 - TRACE] VSCode language id: typescript
[02/07/2024 19:51:44 - TRACE] VSCode language id: typescript
[02/07/2024 19:51:46 - TRACE] VSCode language id: typescript
[02/07/2024 19:52:04 - TRACE] VSCode language id: typescript
[02/07/2024 19:52:06 - TRACE] VSCode language id: typescript
[02/07/2024 19:52:09 - TRACE] VSCode language id: typescript
[02/07/2024 19:52:11 - TRACE] VSCode language id: typescript
[02/07/2024 19:52:13 - TRACE] VSCode language id: typescript
[02/07/2024 19:52:15 - TRACE] VSCode language id: typescript
[02/07/2024 19:52:16 - TRACE] VSCode language id: typescript
[02/07/2024 19:52:35 - TRACE] VSCode language id: typescript
[02/07/2024 19:52:38 - TRACE] VSCode language id: typescript
[02/07/2024 19:52:40 - TRACE] VSCode language id: typescript
[02/07/2024 19:52:48 - TRACE] VSCode language id: typescript
[02/07/2024 19:52:50 - TRACE] VSCode language id: typescript
[02/07/2024 19:52:52 - TRACE] VSCode language id: typescript
[02/07/2024 19:52:54 - TRACE] VSCode language id: typescript
[02/07/2024 19:53:06 - TRACE] VSCode language id: typescript
[02/07/2024 19:53:34 - TRACE] VSCode language id: typescript
[02/07/2024 19:53:37 - TRACE] VSCode language id: typescript
[02/07/2024 19:53:39 - TRACE] VSCode language id: typescript
[02/07/2024 19:53:42 - TRACE] VSCode language id: typescript
[02/07/2024 19:53:56 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:54:00 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:54:02 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:54:04 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:54:06 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:54:08 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:54:10 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:54:12 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:54:14 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:54:17 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:54:46 - TRACE] VSCode language id: typescript
[02/07/2024 19:55:03 - TRACE] VSCode language id: typescript
[02/07/2024 19:55:05 - TRACE] VSCode language id: typescript
[02/07/2024 19:56:08 - TRACE] VSCode language id: typescript
[02/07/2024 19:56:10 - TRACE] VSCode language id: typescript
[02/07/2024 19:56:21 - TRACE] VSCode language id: typescript
[02/07/2024 19:56:23 - TRACE] VSCode language id: typescript
[02/07/2024 19:56:24 - TRACE] VSCode language id: typescript
[02/07/2024 19:56:25 - TRACE] VSCode language id: typescript
[02/07/2024 19:56:42 - TRACE] VSCode language id: typescript
[02/07/2024 19:56:42 - TRACE] VSCode language id: typescript
[02/07/2024 19:56:44 - TRACE] VSCode language id: typescript
[02/07/2024 19:56:48 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:56:54 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:56:56 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:56:58 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:57:00 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:57:02 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:57:16 - TRACE] VSCode language id: typescript
[02/07/2024 19:57:17 - TRACE] VSCode language id: typescript
[02/07/2024 19:57:18 - TRACE] VSCode language id: typescript
[02/07/2024 19:57:19 - TRACE] VSCode language id: typescript
[02/07/2024 19:57:19 - TRACE] VSCode language id: typescript
[02/07/2024 19:57:21 - TRACE] VSCode language id: typescript
[02/07/2024 19:57:21 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:57:23 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:09 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:11 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:11 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:13 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:19 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:21 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:23 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:27 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:29 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:33 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:35 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:37 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:38 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:40 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:43 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:45 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:47 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:50 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:52 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:54 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:56 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:58:58 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:59:03 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:59:05 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:59:07 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:59:09 - TRACE] VSCode language id: typescriptreact
[02/07/2024 19:59:21 - TRACE] VSCode language id: typescriptreact
[02/07/2024 20:00:33 - TRACE] VSCode language id: typescriptreact
[02/07/2024 20:29:32 - TRACE] VSCode language id: typescript
[02/07/2024 20:29:49 - TRACE] VSCode language id: typescript
[02/07/2024 20:29:51 - TRACE] VSCode language id: typescript
[02/07/2024 20:29:54 - TRACE] VSCode language id: typescript
[02/07/2024 20:29:57 - TRACE] VSCode language id: typescript
[02/07/2024 20:29:58 - TRACE] VSCode language id: typescript
[02/07/2024 20:30:00 - TRACE] VSCode language id: typescript
[02/07/2024 20:30:02 - TRACE] VSCode language id: typescript
[02/07/2024 20:30:04 - TRACE] VSCode language id: typescript
[02/07/2024 20:30:06 - TRACE] VSCode language id: typescript
[02/07/2024 20:30:08 - TRACE] VSCode language id: typescript
[02/07/2024 20:30:10 - TRACE] VSCode language id: typescript
[02/07/2024 20:30:12 - TRACE] VSCode language id: typescript
[02/07/2024 20:30:14 - TRACE] VSCode language id: typescript
[02/07/2024 20:31:05 - TRACE] VSCode language id: typescript
[02/07/2024 20:35:33 - TRACE] VSCode language id: typescript
[02/07/2024 20:35:36 - TRACE] VSCode language id: typescript
[02/07/2024 20:35:36 - TRACE] VSCode language id: typescript
[02/07/2024 20:35:43 - TRACE] VSCode language id: typescript
[02/07/2024 20:35:45 - TRACE] VSCode language id: typescript
[02/07/2024 20:36:20 - TRACE] VSCode language id: typescript
[02/07/2024 20:36:22 - TRACE] VSCode language id: typescript
[02/07/2024 20:36:22 - TRACE] VSCode language id: typescript
[02/07/2024 20:36:24 - TRACE] VSCode language id: typescript
[02/07/2024 20:36:40 - TRACE] VSCode language id: typescript
[02/07/2024 20:36:42 - TRACE] VSCode language id: typescript
[02/07/2024 20:36:53 - TRACE] VSCode language id: typescript
[02/07/2024 20:37:43 - TRACE] VSCode language id: typescript
[02/07/2024 20:37:45 - TRACE] VSCode language id: typescript
[02/07/2024 20:37:53 - TRACE] VSCode language id: typescript
[02/07/2024 20:37:55 - TRACE] VSCode language id: typescript
[02/07/2024 20:38:01 - TRACE] VSCode language id: typescript
[02/07/2024 20:38:01 - TRACE] VSCode language id: typescript
[02/07/2024 20:38:07 - TRACE] VSCode language id: typescript
[02/07/2024 20:38:08 - TRACE] VSCode language id: typescript
[02/07/2024 20:38:09 - TRACE] VSCode language id: typescript
[02/07/2024 20:38:12 - TRACE] VSCode language id: typescript
[02/07/2024 20:38:13 - TRACE] VSCode language id: typescript
[02/07/2024 20:38:14 - TRACE] VSCode language id: typescript
[02/07/2024 20:38:14 - TRACE] VSCode language id: typescript
[02/07/2024 20:38:40 - TRACE] VSCode language id: typescriptreact
[02/07/2024 20:39:10 - TRACE] VSCode language id: typescriptreact
[02/07/2024 20:39:12 - TRACE] VSCode language id: typescriptreact
[02/07/2024 20:39:41 - TRACE] VSCode language id: typescript
[02/07/2024 20:40:37 - TRACE] VSCode language id: typescript
[02/07/2024 20:40:39 - TRACE] VSCode language id: typescript
[02/07/2024 20:40:52 - TRACE] VSCode language id: typescript
[02/07/2024 20:40:53 - TRACE] VSCode language id: typescript
[02/07/2024 20:40:53 - TRACE] VSCode language id: typescript
[02/07/2024 20:40:56 - TRACE] VSCode language id: typescript
[02/07/2024 20:40:58 - TRACE] VSCode language id: typescript
[02/07/2024 20:41:36 - TRACE] VSCode language id: typescript
[02/07/2024 20:41:38 - TRACE] VSCode language id: typescript
[02/07/2024 20:48:31 - TRACE] VSCode language id: typescriptreact
[02/07/2024 20:48:34 - TRACE] VSCode language id: typescriptreact
[02/07/2024 20:48:40 - TRACE] VSCode language id: typescriptreact
[02/07/2024 20:48:51 - TRACE] VSCode language id: typescriptreact
[02/07/2024 20:48:56 - TRACE] VSCode language id: typescriptreact
[02/07/2024 20:49:20 - TRACE] VSCode language id: typescript
[02/07/2024 20:49:22 - TRACE] VSCode language id: typescript
[02/07/2024 20:49:24 - TRACE] VSCode language id: typescriptreact
[02/07/2024 20:49:25 - TRACE] VSCode language id: typescript
[02/07/2024 20:49:26 - TRACE] VSCode language id: typescript
[02/07/2024 20:49:28 - TRACE] VSCode language id: typescript
[02/07/2024 20:49:29 - TRACE] VSCode language id: typescript
[02/07/2024 20:49:31 - TRACE] VSCode language id: typescript
[02/07/2024 20:49:34 - TRACE] VSCode language id: typescript
[02/07/2024 20:49:36 - TRACE] VSCode language id: typescript
[02/07/2024 20:49:38 - TRACE] VSCode language id: typescript
[02/07/2024 20:49:40 - TRACE] VSCode language id: typescript
[02/07/2024 20:49:42 - TRACE] VSCode language id: typescript
[02/07/2024 20:49:44 - TRACE] VSCode language id: typescript
[02/07/2024 20:49:46 - TRACE] VSCode language id: typescript
[02/07/2024 20:49:48 - TRACE] VSCode language id: typescript
[02/07/2024 20:49:50 - TRACE] VSCode language id: typescript
[02/07/2024 20:49:52 - TRACE] VSCode language id: typescript
[02/07/2024 20:49:54 - TRACE] VSCode language id: typescript
[02/07/2024 20:49:56 - TRACE] VSCode language id: typescript
[02/07/2024 20:49:58 - TRACE] VSCode language id: typescript
[02/07/2024 20:50:01 - TRACE] VSCode language id: typescriptreact
[02/07/2024 20:50:02 - TRACE] VSCode language id: typescript
[02/07/2024 20:50:02 - TRACE] VSCode language id: typescript
[02/07/2024 20:50:04 - TRACE] VSCode language id: typescriptreact
[02/07/2024 20:50:04 - TRACE] VSCode language id: typescriptreact
[02/07/2024 20:50:06 - TRACE] VSCode language id: typescript
[02/07/2024 20:50:07 - TRACE] VSCode language id: typescript
[02/07/2024 20:50:09 - TRACE] VSCode language id: typescript
[02/07/2024 20:50:10 - TRACE] VSCode language id: typescript
[02/07/2024 20:50:12 - TRACE] VSCode language id: typescript
